idComponentes,Referencia,Categoria,Tipo,Fabricante,DistribuidorHabitual,"Potencia (kW)","VoltajeNominal (V)","VoltajeMin (V)","VoltajeMax (V)","VoltajeSecundario (V)","IntensidadNominal (A)","IntensidadMin (A)","IntensidadMax (A)","Altura (mm)","Anchura (mm)","Profundidad (mm)"
1,GV2ME01,1,1,SE,NULL,0.06,NULL,NULL,NULL,NULL,NULL,0.16,0.01,NULL,NULL,NULL
2,GV2ME02,1,1,SE,NULL,0.06,NULL,NULL,NULL,NULL,NULL,0.25,0.16,NULL,NULL,NULL
3,GV2ME03,1,1,SE,NULL,0.09,NULL,NULL,NULL,NULL,NULL,0.4,0.25,NULL,NULL,NULL
4,GV2ME04,1,1,SE,NULL,0.18,NULL,NULL,NULL,NULL,NULL,0.63,0.4,NULL,NULL,NULL
5,GV2ME05,1,1,SE,NULL,0.25,NULL,NULL,NULL,NULL,NULL,1,0.63,NULL,NULL,NULL
6,GV2ME06,1,1,SE,NULL,0.55,NULL,NULL,NULL,NULL,NULL,1.6,1,NULL,NULL,NULL
7,GV2ME07,1,1,SE,NULL,0.75,NULL,NULL,NULL,NULL,NULL,2.5,1.6,NULL,NULL,NULL
8,GV2ME08,1,1,SE,NULL,1.5,NULL,NULL,NULL,NULL,NULL,4,2.5,NULL,NULL,NULL
9,GV2ME10,1,1,SE,NULL,2.2,NULL,NULL,NULL,NULL,NULL,6.3,4,NULL,NULL,NULL
10,GV2ME14,1,1,SE,NULL,4,NULL,NULL,NULL,NULL,NULL,10,6,NULL,NULL,NULL
11,GV2ME16,1,1,SE,NULL,5.5,NULL,NULL,NULL,NULL,NULL,14,9,NULL,NULL,NULL
12,GV2ME20,1,1,SE,NULL,7.5,NULL,NULL,NULL,NULL,NULL,18,13,NULL,NULL,NULL
13,GV2ME21,1,1,SE,NULL,9,NULL,NULL,NULL,NULL,NULL,23,17,NULL,NULL,NULL
14,GV2ME22,1,1,SE,NULL,11,NULL,NULL,NULL,NULL,NULL,25,20,NULL,NULL,NULL
15,GV2ME32,1,1,SE,NULL,15,NULL,NULL,NULL,NULL,NULL,32,24,NULL,NULL,NULL
16,GV3P40,1,1,SE,NULL,18.5,NULL,NULL,NULL,NULL,NULL,40,30,NULL,NULL,NULL
17,GV3P50,1,1,SE,NULL,22,NULL,NULL,NULL,NULL,NULL,50,37,NULL,NULL,NULL
18,GV3P65,1,1,SE,NULL,30,NULL,NULL,NULL,NULL,NULL,65,48,NULL,NULL,NULL
19,GV3P73,1,1,SE,NULL,37,NULL,NULL,NULL,NULL,NULL,73,62,NULL,NULL,NULL
20,GV3P80,1,1,SE,NULL,45,NULL,NULL,NULL,NULL,NULL,80,70,NULL,NULL,NULL
21,LC1D09P7,1,2,SE,NULL,4,NULL,NULL,NULL,230,NULL,NULL,9,NULL,NULL,NULL
22,LC1D12P7,1,2,SE,NULL,5.5,NULL,NULL,NULL,230,NULL,NULL,12,NULL,NULL,NULL
23,LC1D18P7,1,2,SE,NULL,7.5,NULL,NULL,NULL,230,NULL,NULL,18,NULL,NULL,NULL
24,LC1D25P7,1,2,SE,NULL,11,NULL,NULL,NULL,230,NULL,NULL,25,NULL,NULL,NULL
25,LC1D32P7,1,2,SE,NULL,15,NULL,NULL,NULL,230,NULL,NULL,32,NULL,NULL,NULL
26,LC1D40AP7,1,2,SE,NULL,18.5,NULL,NULL,NULL,230,NULL,NULL,40,NULL,NULL,NULL
27,LC1D50AP7,1,2,SE,NULL,22,NULL,NULL,NULL,230,NULL,NULL,50,NULL,NULL,NULL
28,LC1D65AP7,1,2,SE,NULL,30,NULL,NULL,NULL,230,NULL,NULL,65,NULL,NULL,NULL
29,LC1D80AP7,1,2,SE,NULL,45,NULL,NULL,NULL,230,NULL,NULL,80,NULL,NULL,NULL
30,ATS01N206QN,1,3,SE,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL
31,ATS01N209QN,1,3,SE,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL
32,ATS01N212QN,1,3,SE,NULL,5.5,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL
33,ATS01N222QN,1,3,SE,NULL,11,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
34,ATS01N232QN,1,3,SE,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,32,NULL,NULL,NULL
35,ATS130N2C11LT,1,3,SE,NULL,55,NULL,NULL,NULL,NULL,NULL,NULL,105,NULL,NULL,NULL
36,ATS130N2D38LT,1,3,SE,NULL,18.5,NULL,NULL,NULL,NULL,NULL,NULL,38,NULL,NULL,NULL
37,ATS130N2D45LT,1,3,SE,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,45,NULL,NULL,NULL
38,ATS130N2D65LT,1,3,SE,NULL,37,NULL,NULL,NULL,NULL,NULL,NULL,65,NULL,NULL,NULL
39,ATS130N2D73LT,1,3,SE,NULL,40,NULL,NULL,NULL,NULL,NULL,NULL,73,NULL,NULL,NULL
40,ATS130N2D80LT,1,3,SE,NULL,45,NULL,NULL,NULL,NULL,NULL,NULL,80,NULL,NULL,NULL
41,LZ2H2X43BD,1,4,SE,NULL,0.75,NULL,NULL,NULL,NULL,NULL,0.18,2,NULL,NULL,NULL
42,LZ2H6X53BD,1,4,SE,NULL,3,NULL,NULL,NULL,NULL,NULL,1.5,9,NULL,NULL,NULL
